date,time,head
2021/8/13,16:30:57,1423.692
2021/8/13,16:31:07,1423.692
2021/8/13,16:31:17,1423.692
2021/8/13,16:31:27,1423.575
2021/8/13,16:31:37,1423.575
2021/8/13,16:31:47,1423.575
2021/8/13,16:31:57,1423.575
2021/8/13,16:32:07,1423.4
2021/8/13,16:32:17,1423.4
2021/8/13,16:32:27,1423.4
2021/8/13,16:32:37,1423.4
2021/8/13,16:32:47,1423.225
2021/8/13,16:32:57,1423.225
2021/8/13,16:33:07,1423.225
2021/8/13,16:33:17,1423.225
2021/8/13,16:33:27,1423.225
2021/8/13,16:33:37,1423.225
2021/8/13,16:33:47,1423.225
2021/8/13,16:33:57,1423.05
2021/8/13,16:34:07,1423.05
2021/8/13,16:34:17,1423.05
2021/8/13,16:34:27,1423.05
2021/8/13,16:34:37,1423.05
2021/8/13,16:34:47,1423.05
2021/8/13,16:34:57,1423.05
2021/8/13,16:35:07,1422.875
2021/8/13,16:35:17,1423.05
2021/8/13,16:35:27,1422.875
2021/8/13,16:35:37,1422.875
2021/8/13,16:35:47,1423.05
2021/8/13,16:35:57,1422.758
2021/8/13,16:36:07,1422.875
2021/8/13,16:36:17,1422.875
2021/8/13,16:36:27,1422.758
2021/8/13,16:36:37,1422.583
2021/8/13,16:36:47,1422.758
2021/8/13,16:36:57,1422.758
2021/8/13,16:37:07,1422.758
2021/8/13,16:37:17,1422.758
2021/8/13,16:37:27,1389.8
2021/8/13,16:37:37,1395.167
2021/8/13,16:37:47,1399.25
2021/8/13,16:37:57,1402.458
2021/8/13,16:38:07,1404.908
2021/8/13,16:38:17,1406.833
2021/8/13,16:38:27,1408.467
2021/8/13,16:38:37,1409.75
2021/8/13,16:38:47,1410.567
2021/8/13,16:38:57,1411.208
2021/8/13,16:39:07,1411.733
2021/8/13,16:39:17,1411.85
2021/8/13,16:39:27,1412.2
2021/8/13,16:39:37,1412.375
2021/8/13,16:39:47,1412.375
2021/8/13,16:39:57,1412.667
2021/8/13,16:40:07,1412.667
2021/8/13,16:40:17,1412.842
2021/8/13,16:40:27,1413.017
2021/8/13,16:40:37,1413.133
2021/8/13,16:40:47,1413.133
2021/8/13,16:40:57,1413.308
2021/8/13,16:41:07,1413.483
2021/8/13,16:41:17,1413.483
2021/8/13,16:41:27,1413.658
2021/8/13,16:41:37,1413.775
2021/8/13,16:41:47,1413.95
2021/8/13,16:41:57,1414.125
2021/8/13,16:42:07,1414.125
2021/8/13,16:42:17,1414.008
2021/8/13,16:42:27,1414.183
2021/8/13,16:42:37,1414.183
2021/8/13,16:42:47,1414.3
2021/8/13,16:42:57,1414.65
2021/8/13,16:43:07,1414.65
2021/8/13,16:43:17,1414.767
2021/8/13,16:43:27,1414.767
2021/8/13,16:43:37,1414.942
2021/8/13,16:43:47,1414.942
2021/8/13,16:43:57,1415.117
2021/8/13,16:44:07,1415.117
2021/8/13,16:44:17,1415.117
2021/8/13,16:44:27,1415.292
2021/8/13,16:44:37,1415.292
2021/8/13,16:44:47,1415.408
2021/8/13,16:44:57,1415.408
2021/8/13,16:45:07,1415.583
2021/8/13,16:45:17,1415.583
2021/8/13,16:45:27,1415.583
2021/8/13,16:45:37,1415.758
2021/8/13,16:45:47,1415.758
2021/8/13,16:45:57,1415.933
2021/8/13,16:46:07,1415.933
2021/8/13,16:46:17,1415.933
2021/8/13,16:46:27,1416.05
2021/8/13,16:46:37,1416.05
2021/8/13,16:46:47,1416.05
2021/8/13,16:46:57,1416.225
2021/8/13,16:47:07,1416.225
2021/8/13,16:47:17,1416.283
2021/8/13,16:47:27,1416.4
2021/8/13,16:47:37,1416.4
2021/8/13,16:47:47,1416.4
2021/8/13,16:47:57,1416.4
2021/8/13,16:48:07,1416.4
2021/8/13,16:48:17,1416.575
2021/8/13,16:48:27,1416.575
2021/8/13,16:48:37,1416.75
2021/8/13,16:48:47,1416.75
2021/8/13,16:48:57,1416.75
2021/8/13,16:49:07,1416.75
2021/8/13,16:49:17,1416.75
2021/8/13,16:49:27,1416.867
2021/8/13,16:49:37,1416.867
2021/8/13,16:49:47,1416.867
2021/8/13,16:49:57,1416.867
2021/8/13,16:50:07,1416.867
2021/8/13,16:50:17,1417.042
2021/8/13,16:50:27,1417.042
2021/8/13,16:50:37,1417.042
2021/8/13,16:50:47,1417.042
2021/8/13,16:50:57,1417.042
2021/8/13,16:51:07,1417.217
2021/8/13,16:51:17,1417.217
2021/8/13,16:51:27,1417.217
2021/8/13,16:51:37,1417.392
2021/8/13,16:51:47,1417.392
2021/8/13,16:51:57,1417.392
2021/8/13,16:52:07,1417.392
2021/8/13,16:52:17,1417.392
2021/8/13,16:52:27,1417.392
2021/8/13,16:52:37,1417.567
2021/8/13,16:52:47,1417.567
2021/8/13,16:52:57,1417.567
2021/8/13,16:53:07,1417.567
2021/8/13,16:53:17,1417.567
2021/8/13,16:53:27,1417.567
2021/8/13,16:53:37,1417.567
2021/8/13,16:53:47,1417.683
2021/8/13,16:53:57,1417.567
2021/8/13,16:54:07,1417.567
2021/8/13,16:54:17,1417.567
2021/8/13,16:54:27,1417.567
2021/8/13,16:54:37,1417.742
2021/8/13,16:54:47,1417.742
2021/8/13,16:54:57,1389.683
2021/8/13,16:55:07,1024.167
2021/8/13,16:55:17,1019.15
2021/8/13,16:55:27,1018.8
2021/8/13,16:55:37,1018.625
2021/8/13,16:55:47,1018.333
2021/8/13,16:55:57,1018.333
2021/8/13,16:56:07,1017.983
2021/8/13,16:56:17,1017.867
2021/8/13,16:56:27,1017.867
2021/8/13,16:56:37,1017.983
2021/8/13,16:56:47,1018.158
2021/8/13,16:56:57,1018.158
2021/8/13,16:57:07,1018.158
2021/8/13,16:57:17,1018.333
2021/8/13,16:57:27,1112.95
2021/8/13,16:57:37,1166.908
2021/8/13,16:57:47,1166.792
2021/8/13,16:57:57,1167.258
2021/8/13,16:58:07,1169.825
2021/8/13,16:58:17,1168.717
2021/8/13,16:58:27,1173.267
2021/8/13,16:58:37,1168.017
2021/8/13,16:58:47,1167.258
2021/8/13,16:58:57,1167.433
2021/8/13,16:59:07,1167.433
2021/8/13,16:59:17,1167.083
2021/8/13,16:59:27,1167.142
2021/8/13,16:59:37,1167.375
2021/8/13,16:59:47,1167.433
2021/8/13,16:59:57,1167.433
2021/8/13,17:00:07,1167.375
2021/8/13,17:00:17,1167.375
2021/8/13,17:00:27,1167.258
2021/8/13,17:00:37,1167.2
2021/8/13,17:00:47,1167.433
2021/8/13,17:00:57,1167.433
2021/8/13,17:01:07,1167.083
2021/8/13,17:01:17,1167.433
2021/8/13,17:01:27,1167.258
2021/8/13,17:01:37,1167.083
2021/8/13,17:01:47,1167.083
2021/8/13,17:01:57,1167.258
2021/8/13,17:02:07,1167.2
2021/8/13,17:02:17,1167.433
2021/8/13,17:02:27,1167.433
2021/8/13,17:02:37,1167.258
2021/8/13,17:02:47,1167.258
2021/8/13,17:02:57,1167.258
2021/8/13,17:03:07,1167.258
2021/8/13,17:03:17,1167.258
2021/8/13,17:03:27,1167.258
2021/8/13,17:03:37,1167.258
2021/8/13,17:03:47,1167.433
2021/8/13,17:03:57,1167.2
2021/8/13,17:04:07,1167.375
2021/8/13,17:04:17,1167.375
2021/8/13,17:04:27,1167.258
2021/8/13,17:04:37,1167.258
2021/8/13,17:04:47,1167.142
2021/8/13,17:04:57,1167.258
2021/8/13,17:05:07,1167.258
2021/8/13,17:05:17,1167.258
2021/8/13,17:05:27,1167.142
2021/8/13,17:05:37,1167.258
